Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSizeScaleFactor	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrixScaleFactor	migModel.t:h3n2_2deme.rateMatrix_backward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_backward_NewZealand_HongKong	migModel.t:h3n2_2deme.rateMatrix_forward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_forward_NewZealand_HongKong	clockRate.c:h3n2_2deme	gammaShape.s:h3n2_2deme	kappa.s:h3n2_2deme	freqParameter.s:h3n2_2deme.1	freqParameter.s:h3n2_2deme.2	freqParameter.s:h3n2_2deme.3	freqParameter.s:h3n2_2deme.4
11000	-4868.991513459659	-4715.024882352935	-153.96663110672424	-4715.024882352935	7.428056378051412	58.01004111172151	35.48696189947495	22.523079212246568	16	21	35	24	1	1.0	2.1041722716011315	1.9482737941742276	1.0	0.49969875549792336	1.3822110896423796	1.2798028375871142	0.5396840365129378	0.0030542395611618594	0.11805630497853548	4.1272674717152995	0.26530281153571605	0.1481874486666205	0.2552446059859917	0.3312651338116718
12000	-4775.642855706807	-4633.988637699527	-141.65421800727947	-4633.988637699527	7.4170318176322665	55.033633802739516	36.33727637402846	18.696357428711075	11	20	38	21	0	1.0	2.194279620010792	2.1211298059508805	1.0	0.43525581343642195	1.33790210846145	1.2933010058618473	0.4502661544971364	0.002621755554712249	0.0992680268966796	3.007684931285608	0.31153767062871307	0.1391824734578949	0.21503906400462036	0.3342407919087717
13000	-4741.7149615635935	-4615.252921446323	-126.46204011727018	-4615.252921446323	7.268450492678105	52.3118146283214	36.66445784068856	15.647356787632834	5	17	41	18	0	1.0	2.243397848657666	1.6700115136511067	1.0	0.31067207941617375	1.390732553293298	1.0352775268100116	0.4173390835351178	0.0024784823915014356	0.0992680268966796	3.007684931285608	0.31153767062871307	0.1391824734578949	0.21503906400462036	0.3342407919087717
14000	-4745.013703655679	-4608.954898143479	-136.05880551219963	-4608.954898143479	8.479739188255113	56.48878767613692	39.4272142719815	17.061573404155418	9	21	41	18	0	1.0	2.572221624669699	1.8593145264967614	1.0	0.27115848630933054	1.3636068656802671	0.9856748071292682	0.37512734518980123	0.0031074133992719647	0.0992680268966796	2.9375218808801207	0.31153767062871307	0.1391824734578949	0.21503906400462036	0.3342407919087717
15000	-4727.404914281279	-4599.748606665548	-127.6563076157309	-4599.748606665548	8.079233819383944	53.28689220302614	39.16623302592086	14.120659177105296	5	16	40	19	0	1.0	2.142288839662985	2.0761795696542684	1.0	0.24727904138913093	1.0473824174087967	1.0150610582377555	0.2551528482378386	0.0028935832950534135	0.08939753234637209	2.9375218808801207	0.31153767062871307	0.1391824734578949	0.21503906400462036	0.3342407919087717
16000	-4739.967483889852	-4612.905640042453	-127.06184384739842	-4612.905640042453	8.844342171709883	53.53147704108885	28.79886540748521	24.732611633603625	11	16	34	25	0	1.0	1.7257776245870475	2.0909297258158577	1.0	0.320277183794349	0.8172690993079006	0.9901926119493779	0.26434518130080764	0.0027878972035660465	0.08939753234637209	2.9375218808801207	0.31153767062871307	0.1391824734578949	0.21503906400462036	0.3342407919087717
17000	-4738.663109700547	-4612.211026964468	-126.45208273607884	-4612.211026964468	8.61630888543558	53.18406363944178	30.487396080824954	22.696667558616845	12	18	35	24	0	1.0	1.7457155679941647	1.7089591285201065	1.0	0.26351931225447445	0.8352057400090132	0.8176202926464162	0.2691871082183924	0.0032102599868414844	0.08939753234637209	2.9375218808801207	0.31153767062871307	0.1391824734578949	0.21503906400462036	0.3342407919087717
18000	-4702.981546567171	-4583.681073874539	-119.30047269263197	-4583.681073874539	8.899189729725455	52.36778419180373	30.34610738032699	22.021676811476738	8	13	34	25	0	1.0	1.3373851760823707	1.7140553711516275	1.0	0.23136309169972114	0.6403536202766009	0.8207071394994252	0.18052017124971945	0.0029717139396730624	0.08939753234637209	4.672711186439802	0.3941206887481202	0.23773054216923395	0.15943475923936773	0.2087140098432781
19000	-4688.403884192378	-4567.061550859244	-121.34233333313477	-4567.061550859244	8.00020573038153	53.26753810502311	30.968503174822523	22.299034930200584	6	11	34	25	0	1.0	1.5598467405479557	1.3910252407216568	1.0	0.15895992407763815	0.497676329646082	0.4438130479435575	0.17825206343604344	0.0034917022997929792	0.14295866970835905	6.311042567705936	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
20000	-4684.346965574403	-4565.109394157016	-119.23757141738659	-4565.109394157016	7.833597540910919	51.21082361653498	28.88318976773367	22.32763384880132	9	13	33	26	0	1.0	1.3371915743908533	1.5766144834162523	1.0	0.2357127865441385	0.471194179066249	0.5555610590469786	0.1999177068702568	0.002779533260225722	0.22386144380590522	6.311042567705936	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
